player_id,name,hand,ht,country_id
213583,Tatjana Maria,R,,GER
202469,Garbine Muguruza,R,182,ESP
206420,Ekaterina Alexandrova,R,175,RUS
201620,Monica Puig,R,170,PUR
202458,Ashleigh Barty,R,166,AUS
211533,Jelena Ostapenko,R,177,LAT
201493,Angelique Kerber,L,173,GER
201594,Simona Halep,R,168,ROU
106186,Jason Kubler,R,,AUS
201527,Stefanie Voegele,R,170,SUI
214956,Miriam Kolodziejova,R,,CZE
205923,Abbie Myers,R,,AUS
213666,Maddison Inglis,R,171,AUS
201610,Zarina Diyas,R,172,KAZ
201366,Barbora Zahlavova Strycova,R,164,CZE
215811,Alexandra Bozovic,U,,AUS
205815,Eri Hozumi,R,,JPN
201318,Bethanie Mattek Sands,R,168,USA
214461,Tamara Zidansek,R,168,SLO
104745,Rafael Nadal,L,185,ESP
103819,Roger Federer,R,185,SUI
100644,Alexander Zverev,R,198,GER
105227,Marin Cilic,R,198,CRO
106432,Borna Coric,R,188,CRO
105936,Filip Krajinovic,R,185,SRB
104792,Gael Monfils,R,193,FRA
106283,Mitchell Krueger,R,,USA
105554,Daniel Evans,R,175,GBR
111794,Kamil Majchrzak,R,,POL
104678,Viktor Troicki,R,193,SRB
144750,Lloyd Harris,R,193,RSA
200484,Rudolf Molleker,R,,GER
105882,Stefano Travaglia,R,185,ITA
104563,Luca Vanni,R,,ITA
105967,Henri Laaksonen,R,,SUI
105147,Tatsuma Ito,R,180,JPN
105163,Gleb Sakharov,R,,FRA
104810,Zhe Li,R,,CHN
106058,Jack Sock,R,185,USA
106071,Bernard Tomic,R,193,AUS
104386,Janko Tipsarevic,R,180,SRB
105062,Mikhail Kukushkin,R,183,KAZ
104999,Mischa Zverev,L,190,GER
105643,Federico Delbonis,L,190,ARG
103852,Feliciano Lopez,L,188,ESP
201466,Kaia Kanepi,R,181,EST
213550,Sofia Kenin,R,170,USA
206368,Veronika Kudermetova,R,175,RUS
201427,Alize Cornet,R,173,FRA
