max_lost,loser_name,nemesis
2,David Guez,Nikola Mektic
2,David Guez,Go Soeda
2,Dmitry Tursunov,Gilles Muller
1,Benjamin Balleret,Prajnesh Gunneswaran
1,Benjamin Balleret,Cheong Eui Kim
1,Benjamin Balleret,Mikelis Libietis
1,Benjamin Balleret,Jason Jung
1,Benjamin Balleret,Sanam Singh
1,Benjamin Balleret,Stephane Robert
1,Carlos Salamanca,Gerald Melzer
1,Carlos Salamanca,Marcelo Arevalo
1,Carlos Salamanca,Gonzalo Lama
1,Carlos Salamanca,Joao Souza
1,Carlos Salamanca,Hugo Dellien
1,Carlos Salamanca,Guilherme Clezar
1,Carlos Salamanca,Facundo Mena
2,Giovanni Lapentti,Guilherme Clezar
3,Carlos Berlocq,Thiago Monteiro
1,Santiago Gonzalez,Hugo Nys
1,Santiago Gonzalez,Emilio Gomez
1,Santiago Gonzalez,Teymuraz Gabashvili
1,Lukas Dlouhy,Edoardo Eremin
1,Lukas Dlouhy,Eduardo Dischinger
1,Lukas Dlouhy,Frank Moser
1,Joel Kielbowicz,Riccardo Ghedin
1,Enrico Iannuzzi,Riccardo Bonadio
4,Gilles Muller,Marin Cilic
1,Gleb Alekseenko,Juan Ignacio Londero
1,Vadim Alekseenko,Ronan Joncour
1,Vadim Alekseenko,George Von Massow
4,Guillermo Garcia Lopez,Ryan Harrison
4,Guillermo Garcia Lopez,Federico Delbonis
1,Joseph Huber,Michael Venus
5,Maximo Gonzalez,Guido Andreozzi
2,Yen Hsun Lu,Kyle Edmund
2,Yen Hsun Lu,Sergiy Stakhovsky
2,Yen Hsun Lu,Daniil Medvedev
2,Yen Hsun Lu,Paolo Lorenzi
2,Yen Hsun Lu,Alexander Zverev
2,Yen Hsun Lu,Gael Monfils
2,Yen Hsun Lu,Steve Johnson
2,Frederik Nielsen,Lloyd Glasspool
2,Frederik Nielsen,Karim Mohamed Maamoun
2,Matwe Middelkoop,Andrey Golubev
1,Marcelo Melo,Tim Puetz
3,Ti Chen,Go Soeda
3,Florian Mayer,Marin Cilic
5,Philipp Kohlschreiber,Novak Djokovic
2,Flavio Cipolla,Marcel Granollers
2,Alejandro Falla,Adrian Mannarino
5,Fernando Verdasco,Marin Cilic
2,Edouard Roger Vasselin,Tristan Lamasine
2,Edouard Roger Vasselin,Marco Trungelliti
1,Vishal Punna,Kunal Anand
1,Leon Frost,Isaac Frost
4,Malek Jaziri,Jozef Kovalik
3,Rogerio Dutra Silva,Horacio Zeballos
3,Rogerio Dutra Silva,Alessandro Giannessi
3,Rogerio Dutra Silva,Federico Delbonis
3,Rogerio Dutra Silva,Albert Ramos
3,Rogerio Dutra Silva,Facundo Bagnis
1,Ivan Bjelica,Cem Ilkel
2,Michal Przysiezny,Tobias Kamke
2,Michal Przysiezny,Duck Hee Lee
2,Michal Przysiezny,Mirza Basic
5,Andreas Seppi,Kyle Edmund
1,Pietro Ansaldo,Walter Trusendi
3,Steve Darcis,Nick Kyrgios
2,Rajeev Ram,Bernard Tomic
1,Philipp Petzschner,Viktor Galovic
1,Philipp Petzschner,Illya Marchenko
1,Philipp Petzschner,Marton Fucsovics
1,Alberto Brizzi,Pedro Martinez
1,Alberto Brizzi,Hernan Casanova
1,Alberto Brizzi,Gonzalo Lama
1,Alberto Brizzi,Tomislav Brkic
1,Alberto Brizzi,Germain Gigounon
2,Juan Monaco,Dustin Brown
2,Juan Monaco,Andy Murray
1,Rui Machado,Elias Ymer
1,Ivo Minar,Maxime Janvier
1,Ivo Minar,Dragos Dima
1,Ivo Minar,Roman Safiullin
1,Ivo Minar,Ricardo Rodriguez
1,Ivo Minar,Kamil Majchrzak
1,Ivo Minar,Antoine Hoang
2,Janko Tipsarevic,Grigor Dimitrov
2,Janko Tipsarevic,Marin Cilic
2,Janko Tipsarevic,Andreas Seppi
1,Jonathan Hilaire,Maxime Hamou
1,Jonathan Hilaire,Antoine Escoffier
1,Marcel Felder,Hans Hach Verdugo
1,Marcel Felder,Andrea Collarini
1,Marcel Felder,Pedro Sakamoto
1,Marcel Felder,Daniel Dutra Da Silva
1,Marcel Felder,Guido Andreozzi
1,Marcel Felder,Juan Ignacio Londero
1,Marcel Felder,Pavel Krainik
1,Andre Begemann,Marinko Matosevic
3,Go Soeda,Max Purcell
3,Go Soeda,Sergiy Stakhovsky
3,Go Soeda,Yen Hsun Lu
1,Antonio Ruiz Rosales,Ulises Blanch
1,Antonio Ruiz Rosales,Tucker Vorster
1,Antonio Ruiz Rosales,Felipe Mantilla
1,Antonio Ruiz Rosales,Kevin King
1,Antonio Ruiz Rosales,Caio Zampieri
2,Frank Dancevic,Noah Rubin
2,Frank Dancevic,Peter Polansky
2,Frank Dancevic,Blaz Kavcic
3,Dustin Brown,Dennis Novak
1,Lamine Ouahab,Adrian Ungur
1,Lamine Ouahab,Facundo Bagnis
1,Lamine Ouahab,Adrian Menendez Maceiras
1,Lamine Ouahab,Hubert Hurkacz
1,Lamine Ouahab,Rameez Junaid
1,Lamine Ouahab,Nikoloz Basilashvili
